eventName,eventId,year,awardName,categoryName,newCategoryName,primaryNomineeName,primaryNomineeCode,secondaryNomineeName,secondaryNomineeCode,awardNominationId,isWinner,string
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Anthony Hopkins'],['nm0000164'],['The Silence of the Lambs'],['tt0102926'],an0049436,True,"{""primaryNominees"": [""nm0000164""], ""secondaryNominees"": [""tt0102926""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Nick Nolte'],['nm0000560'],['The Prince of Tides'],['tt0102713'],an0049439,False,"{""primaryNominees"": [""nm0000560""], ""secondaryNominees"": [""tt0102713""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Robert De Niro'],['nm0000134'],['Cape Fear'],['tt0101540'],an0049438,False,"{""primaryNominees"": [""nm0000134""], ""secondaryNominees"": [""tt0101540""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Robin Williams'],['nm0000245'],['The Fisher King'],['tt0101889'],an0049440,False,"{""primaryNominees"": [""nm0000245""], ""secondaryNominees"": [""tt0101889""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Warren Beatty'],['nm0000886'],['Bugsy'],['tt0101516'],an0049437,False,"{""primaryNominees"": [""nm0000886""], ""secondaryNominees"": [""tt0101516""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Al Pacino'],['nm0000199'],['Scent of a Woman'],['tt0105323'],an0050323,True,"{""primaryNominees"": [""nm0000199""], ""secondaryNominees"": [""tt0105323""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Clint Eastwood'],['nm0000142'],['Unforgiven'],['tt0105695'],an0050325,False,"{""primaryNominees"": [""nm0000142""], ""secondaryNominees"": [""tt0105695""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Denzel Washington'],['nm0000243'],['Malcolm X'],['tt0104797'],an0050327,False,"{""primaryNominees"": [""nm0000243""], ""secondaryNominees"": [""tt0104797""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Robert Downey Jr.'],['nm0000375'],['Chaplin'],['tt0103939'],an0050324,False,"{""primaryNominees"": [""nm0000375""], ""secondaryNominees"": [""tt0103939""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Stephen Rea'],['nm0001653'],['The Crying Game'],['tt0104036'],an0050326,False,"{""primaryNominees"": [""nm0001653""], ""secondaryNominees"": [""tt0104036""]}"
"Academy Awards, USA",ev0000003,1994,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Tom Hanks'],['nm0000158'],['Philadelphia'],['tt0107818'],an0049040,True,"{""primaryNominees"": [""nm0000158""], ""secondaryNominees"": [""tt0107818""]}"
"Academy Awards, USA",ev0000003,1994,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Anthony Hopkins'],['nm0000164'],['The Remains of the Day'],['tt0107943'],an0049043,False,"{""primaryNominees"": [""nm0000164""], ""secondaryNominees"": [""tt0107943""]}"
"Academy Awards, USA",ev0000003,1994,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Daniel Day-Lewis'],['nm0000358'],['In the Name of the Father'],['tt0107207'],an0049041,False,"{""primaryNominees"": [""nm0000358""], ""secondaryNominees"": [""tt0107207""]}"
"Academy Awards, USA",ev0000003,1994,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Laurence Fishburne'],['nm0000401'],"[""What's Love Got to Do with It""]",['tt0108551'],an0049042,False,"{""primaryNominees"": [""nm0000401""], ""secondaryNominees"": [""tt0108551""]}"
"Academy Awards, USA",ev0000003,1994,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Liam Neeson'],['nm0000553'],"[""Schindler's List""]",['tt0108052'],an0049044,False,"{""primaryNominees"": [""nm0000553""], ""secondaryNominees"": [""tt0108052""]}"
"Academy Awards, USA",ev0000003,1995,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Tom Hanks'],['nm0000158'],['Forrest Gump'],['tt0109830'],an0053190,True,"{""primaryNominees"": [""nm0000158""], ""secondaryNominees"": [""tt0109830""]}"
"Academy Awards, USA",ev0000003,1995,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['John Travolta'],['nm0000237'],['Pulp Fiction'],['tt0110912'],an0053194,False,"{""primaryNominees"": [""nm0000237""], ""secondaryNominees"": [""tt0110912""]}"
"Academy Awards, USA",ev0000003,1995,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Morgan Freeman'],['nm0000151'],['The Shawshank Redemption'],['tt0111161'],an0053191,False,"{""primaryNominees"": [""nm0000151""], ""secondaryNominees"": [""tt0111161""]}"
"Academy Awards, USA",ev0000003,1995,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Nigel Hawthorne'],['nm0001329'],['The Madness of King George'],['tt0110428'],an0053192,False,"{""primaryNominees"": [""nm0001329""], ""secondaryNominees"": [""tt0110428""]}"
"Academy Awards, USA",ev0000003,1995,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Paul Newman'],['nm0000056'],"[""Nobody's Fool""]",['tt0110684'],an0053193,False,"{""primaryNominees"": [""nm0000056""], ""secondaryNominees"": [""tt0110684""]}"
"Academy Awards, USA",ev0000003,1996,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Nicolas Cage'],['nm0000115'],['Leaving Las Vegas'],['tt0113627'],an0051103,True,"{""primaryNominees"": [""nm0000115""], ""secondaryNominees"": [""tt0113627""]}"
"Academy Awards, USA",ev0000003,1996,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Anthony Hopkins'],['nm0000164'],['Nixon'],['tt0113987'],an0051105,False,"{""primaryNominees"": [""nm0000164""], ""secondaryNominees"": [""tt0113987""]}"
"Academy Awards, USA",ev0000003,1996,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Massimo Troisi'],['nm0873385'],['Il postino'],['tt0110877'],an0051107,False,"{""primaryNominees"": [""nm0873385""], ""secondaryNominees"": [""tt0110877""]}"
"Academy Awards, USA",ev0000003,1996,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Richard Dreyfuss'],['nm0000377'],"[""Mr. Holland's Opus""]",['tt0113862'],an0051104,False,"{""primaryNominees"": [""nm0000377""], ""secondaryNominees"": [""tt0113862""]}"
"Academy Awards, USA",ev0000003,1996,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Sean Penn'],['nm0000576'],['Dead Man Walking'],['tt0112818'],an0051106,False,"{""primaryNominees"": [""nm0000576""], ""secondaryNominees"": [""tt0112818""]}"
"Academy Awards, USA",ev0000003,1997,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Geoffrey Rush'],['nm0001691'],['Shine'],['tt0117631'],an0047760,True,"{""primaryNominees"": [""nm0001691""], ""secondaryNominees"": [""tt0117631""]}"
"Academy Awards, USA",ev0000003,1997,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Billy Bob Thornton'],['nm0000671'],['Sling Blade'],['tt0117666'],an0047764,False,"{""primaryNominees"": [""nm0000671""], ""secondaryNominees"": [""tt0117666""]}"
"Academy Awards, USA",ev0000003,1997,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Ralph Fiennes'],['nm0000146'],['The English Patient'],['tt0116209'],an0047762,False,"{""primaryNominees"": [""nm0000146""], ""secondaryNominees"": [""tt0116209""]}"
"Academy Awards, USA",ev0000003,1997,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Tom Cruise'],['nm0000129'],['Jerry Maguire'],['tt0116695'],an0047761,False,"{""primaryNominees"": [""nm0000129""], ""secondaryNominees"": [""tt0116695""]}"
"Academy Awards, USA",ev0000003,1997,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Woody Harrelson'],['nm0000437'],['The People vs. Larry Flynt'],['tt0117318'],an0047763,False,"{""primaryNominees"": [""nm0000437""], ""secondaryNominees"": [""tt0117318""]}"
"Academy Awards, USA",ev0000003,1998,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Jack Nicholson'],['nm0000197'],['As Good as It Gets'],['tt0119822'],an0048545,True,"{""primaryNominees"": [""nm0000197""], ""secondaryNominees"": [""tt0119822""]}"
"Academy Awards, USA",ev0000003,1998,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Dustin Hoffman'],['nm0000163'],['Wag the Dog'],['tt0120885'],an0048549,False,"{""primaryNominees"": [""nm0000163""], ""secondaryNominees"": [""tt0120885""]}"
"Academy Awards, USA",ev0000003,1998,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Matt Damon'],['nm0000354'],['Good Will Hunting'],['tt0119217'],an0048546,False,"{""primaryNominees"": [""nm0000354""], ""secondaryNominees"": [""tt0119217""]}"
"Academy Awards, USA",ev0000003,1998,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Peter Fonda'],['nm0001228'],"[""Ulee's Gold""]",['tt0120402'],an0048548,False,"{""primaryNominees"": [""nm0001228""], ""secondaryNominees"": [""tt0120402""]}"
"Academy Awards, USA",ev0000003,1998,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Robert Duvall'],['nm0000380'],['The Apostle'],['tt0118632'],an0048547,False,"{""primaryNominees"": [""nm0000380""], ""secondaryNominees"": [""tt0118632""]}"
"Academy Awards, USA",ev0000003,1999,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Roberto Benigni'],['nm0000905'],['Life Is Beautiful'],['tt0118799'],an0057179,True,"{""primaryNominees"": [""nm0000905""], ""secondaryNominees"": [""tt0118799""]}"
"Academy Awards, USA",ev0000003,1999,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Edward Norton'],['nm0001570'],['American History X'],['tt0120586'],an0057183,False,"{""primaryNominees"": [""nm0001570""], ""secondaryNominees"": [""tt0120586""]}"
"Academy Awards, USA",ev0000003,1999,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Ian McKellen'],['nm0005212'],['Gods and Monsters'],['tt0120684'],an0057181,False,"{""primaryNominees"": [""nm0005212""], ""secondaryNominees"": [""tt0120684""]}"
"Academy Awards, USA",ev0000003,1999,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Nick Nolte'],['nm0000560'],['Affliction'],['tt0118564'],an0057182,False,"{""primaryNominees"": [""nm0000560""], ""secondaryNominees"": [""tt0118564""]}"
"Academy Awards, USA",ev0000003,1999,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Tom Hanks'],['nm0000158'],['Saving Private Ryan'],['tt0120815'],an0057180,False,"{""primaryNominees"": [""nm0000158""], ""secondaryNominees"": [""tt0120815""]}"
"Academy Awards, USA",ev0000003,2000,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Kevin Spacey'],['nm0000228'],['American Beauty'],['tt0169547'],an0055164,True,"{""primaryNominees"": [""nm0000228""], ""secondaryNominees"": [""tt0169547""]}"
"Academy Awards, USA",ev0000003,2000,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Denzel Washington'],['nm0000243'],['The Hurricane'],['tt0174856'],an0055168,False,"{""primaryNominees"": [""nm0000243""], ""secondaryNominees"": [""tt0174856""]}"
"Academy Awards, USA",ev0000003,2000,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Richard Farnsworth'],['nm0002070'],['The Straight Story'],['tt0166896'],an0055166,False,"{""primaryNominees"": [""nm0002070""], ""secondaryNominees"": [""tt0166896""]}"
"Academy Awards, USA",ev0000003,2000,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Russell Crowe'],['nm0000128'],['The Insider'],['tt0140352'],an0055165,False,"{""primaryNominees"": [""nm0000128""], ""secondaryNominees"": [""tt0140352""]}"
"Academy Awards, USA",ev0000003,2000,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Sean Penn'],['nm0000576'],['Sweet and Lowdown'],['tt0158371'],an0055167,False,"{""primaryNominees"": [""nm0000576""], ""secondaryNominees"": [""tt0158371""]}"
"Academy Awards, USA",ev0000003,2001,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Russell Crowe'],['nm0000128'],['Gladiator'],['tt0172495'],an0050793,True,"{""primaryNominees"": [""nm0000128""], ""secondaryNominees"": [""tt0172495""]}"
"Academy Awards, USA",ev0000003,2001,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Ed Harris'],['nm0000438'],['Pollock'],['tt0183659'],an0050796,False,"{""primaryNominees"": [""nm0000438""], ""secondaryNominees"": [""tt0183659""]}"
"Academy Awards, USA",ev0000003,2001,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Geoffrey Rush'],['nm0001691'],['Quills'],['tt0180073'],an0050797,False,"{""primaryNominees"": [""nm0001691""], ""secondaryNominees"": [""tt0180073""]}"
"Academy Awards, USA",ev0000003,2001,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Javier Bardem'],['nm0000849'],['Before Night Falls'],['tt0247196'],an0050794,False,"{""primaryNominees"": [""nm0000849""], ""secondaryNominees"": [""tt0247196""]}"
"Academy Awards, USA",ev0000003,2001,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Tom Hanks'],['nm0000158'],['Cast Away'],['tt0162222'],an0050795,False,"{""primaryNominees"": [""nm0000158""], ""secondaryNominees"": [""tt0162222""]}"
"Academy Awards, USA",ev0000003,2002,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Denzel Washington'],['nm0000243'],['Training Day'],['tt0139654'],an0055382,True,"{""primaryNominees"": [""nm0000243""], ""secondaryNominees"": [""tt0139654""]}"
"Academy Awards, USA",ev0000003,2002,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Russell Crowe'],['nm0000128'],['A Beautiful Mind'],['tt0268978'],an0055384,False,"{""primaryNominees"": [""nm0000128""], ""secondaryNominees"": [""tt0268978""]}"
"Academy Awards, USA",ev0000003,2002,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Sean Penn'],['nm0000576'],['I Am Sam'],['tt0277027'],an0055385,False,"{""primaryNominees"": [""nm0000576""], ""secondaryNominees"": [""tt0277027""]}"
"Academy Awards, USA",ev0000003,2002,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Tom Wilkinson'],['nm0929489'],['In the Bedroom'],['tt0247425'],an0055386,False,"{""primaryNominees"": [""nm0929489""], ""secondaryNominees"": [""tt0247425""]}"
"Academy Awards, USA",ev0000003,2002,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Will Smith'],['nm0000226'],['Ali'],['tt0248667'],an0055383,False,"{""primaryNominees"": [""nm0000226""], ""secondaryNominees"": [""tt0248667""]}"
"Academy Awards, USA",ev0000003,2003,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Adrien Brody'],['nm0004778'],['The Pianist'],['tt0253474'],an0054908,True,"{""primaryNominees"": [""nm0004778""], ""secondaryNominees"": [""tt0253474""]}"
"Academy Awards, USA",ev0000003,2003,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Daniel Day-Lewis'],['nm0000358'],['Gangs of New York'],['tt0217505'],an0054911,False,"{""primaryNominees"": [""nm0000358""], ""secondaryNominees"": [""tt0217505""]}"
"Academy Awards, USA",ev0000003,2003,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Jack Nicholson'],['nm0000197'],['About Schmidt'],['tt0257360'],an0054909,False,"{""primaryNominees"": [""nm0000197""], ""secondaryNominees"": [""tt0257360""]}"
"Academy Awards, USA",ev0000003,2003,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Michael Caine'],['nm0000323'],['The Quiet American'],['tt0258068'],an0054912,False,"{""primaryNominees"": [""nm0000323""], ""secondaryNominees"": [""tt0258068""]}"
"Academy Awards, USA",ev0000003,2003,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Nicolas Cage'],['nm0000115'],['Adaptation.'],['tt0268126'],an0054910,False,"{""primaryNominees"": [""nm0000115""], ""secondaryNominees"": [""tt0268126""]}"
"Academy Awards, USA",ev0000003,2004,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Sean Penn'],['nm0000576'],['Mystic River'],['tt0327056'],an0055272,True,"{""primaryNominees"": [""nm0000576""], ""secondaryNominees"": [""tt0327056""]}"
"Academy Awards, USA",ev0000003,2004,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Ben Kingsley'],['nm0001426'],['House of Sand and Fog'],['tt0315983'],an0055274,False,"{""primaryNominees"": [""nm0001426""], ""secondaryNominees"": [""tt0315983""]}"
"Academy Awards, USA",ev0000003,2004,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Bill Murray'],['nm0000195'],['Lost in Translation'],['tt0335266'],an0055275,False,"{""primaryNominees"": [""nm0000195""], ""secondaryNominees"": [""tt0335266""]}"
"Academy Awards, USA",ev0000003,2004,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Johnny Depp'],['nm0000136'],['Pirates of the Caribbean: The Curse of the Black Pearl'],['tt0325980'],an0055276,False,"{""primaryNominees"": [""nm0000136""], ""secondaryNominees"": [""tt0325980""]}"
"Academy Awards, USA",ev0000003,2004,Oscar,Best Actor in a Leading Role,Best Performance by an Actor in a Leading Role,['Jude Law'],['nm0000179'],['Cold Mountain'],['tt0159365'],an0055273,False,"{""primaryNominees"": [""nm0000179""], ""secondaryNominees"": [""tt0159365""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Denzel Washington'],['nm0000243'],['Glory'],['tt0097441'],an0052721,True,"{""primaryNominees"": [""nm0000243""], ""secondaryNominees"": [""tt0097441""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Dan Aykroyd'],['nm0000101'],['Driving Miss Daisy'],['tt0097239'],an0052723,False,"{""primaryNominees"": [""nm0000101""], ""secondaryNominees"": [""tt0097239""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Danny Aiello'],['nm0000732'],['Do the Right Thing'],['tt0097216'],an0052722,False,"{""primaryNominees"": [""nm0000732""], ""secondaryNominees"": [""tt0097216""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Marlon Brando'],['nm0000008'],['A Dry White Season'],['tt0097243'],an0052724,False,"{""primaryNominees"": [""nm0000008""], ""secondaryNominees"": [""tt0097243""]}"
"Academy Awards, USA",ev0000003,1990,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Martin Landau'],['nm0001445'],['Crimes and Misdemeanors'],['tt0097123'],an0052725,False,"{""primaryNominees"": [""nm0001445""], ""secondaryNominees"": [""tt0097123""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Joe Pesci'],['nm0000582'],['Goodfellas'],['tt0099685'],an0053087,True,"{""primaryNominees"": [""nm0000582""], ""secondaryNominees"": [""tt0099685""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Al Pacino'],['nm0000199'],['Dick Tracy'],['tt0099422'],an0053091,False,"{""primaryNominees"": [""nm0000199""], ""secondaryNominees"": [""tt0099422""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Andy Garcia'],['nm0000412'],['The Godfather: Part III'],['tt0099674'],an0053089,False,"{""primaryNominees"": [""nm0000412""], ""secondaryNominees"": [""tt0099674""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Bruce Davison'],['nm0001117'],['Longtime Companion'],['tt0100049'],an0053088,False,"{""primaryNominees"": [""nm0001117""], ""secondaryNominees"": [""tt0100049""]}"
"Academy Awards, USA",ev0000003,1991,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Graham Greene'],['nm0001295'],['Dances with Wolves'],['tt0099348'],an0053090,False,"{""primaryNominees"": [""nm0001295""], ""secondaryNominees"": [""tt0099348""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Jack Palance'],['nm0001588'],['City Slickers'],['tt0101587'],an0049446,True,"{""primaryNominees"": [""nm0001588""], ""secondaryNominees"": [""tt0101587""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Ben Kingsley'],['nm0001426'],['Bugsy'],['tt0101516'],an0049449,False,"{""primaryNominees"": [""nm0001426""], ""secondaryNominees"": [""tt0101516""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Harvey Keitel'],['nm0000172'],['Bugsy'],['tt0101516'],an0049448,False,"{""primaryNominees"": [""nm0000172""], ""secondaryNominees"": [""tt0101516""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Michael Lerner'],['nm0503627'],['Barton Fink'],['tt0101410'],an0049450,False,"{""primaryNominees"": [""nm0503627""], ""secondaryNominees"": [""tt0101410""]}"
"Academy Awards, USA",ev0000003,1992,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Tommy Lee Jones'],['nm0000169'],['JFK'],['tt0102138'],an0049447,False,"{""primaryNominees"": [""nm0000169""], ""secondaryNominees"": [""tt0102138""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Gene Hackman'],['nm0000432'],['Unforgiven'],['tt0105695'],an0050333,True,"{""primaryNominees"": [""nm0000432""], ""secondaryNominees"": [""tt0105695""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Al Pacino'],['nm0000199'],['Glengarry Glen Ross'],['tt0104348'],an0050336,False,"{""primaryNominees"": [""nm0000199""], ""secondaryNominees"": [""tt0104348""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['David Paymer'],['nm0001601'],['Mr. Saturday Night'],['tt0104928'],an0050337,False,"{""primaryNominees"": [""nm0001601""], ""secondaryNominees"": [""tt0104928""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Jack Nicholson'],['nm0000197'],['A Few Good Men'],['tt0104257'],an0050335,False,"{""primaryNominees"": [""nm0000197""], ""secondaryNominees"": [""tt0104257""]}"
"Academy Awards, USA",ev0000003,1993,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Jaye Davidson'],['nm0001109'],['The Crying Game'],['tt0104036'],an0050334,False,"{""primaryNominees"": [""nm0001109""], ""secondaryNominees"": [""tt0104036""]}"
"Academy Awards, USA",ev0000003,1994,Oscar,Best Actor in a Supporting Role,Best Performance by an Actor in a Supporting Role,['Tommy Lee Jones'],['nm0000169'],['The Fugitive'],['tt0106977'],an0049050,True,"{""primaryNominees"": [""nm0000169""], ""secondaryNominees"": [""tt0106977""]}"
